,Имя,Комментарий,Дата,Оценка
402,Инна,"Оказывается есть такие врачи у которых лечится не страшно. Был у Ковалевой Светланы Николаевны. Лечила сложный зуб, чистила и пломбировала каналы, была внимательной и главное все было совершенно не больно!",8 февраля 2021,5
403,Алиса,"Ю клиник делала реставрацию двух передних зубов. Осталась очень довольна результатом. Зубы сейчас выглядят как новенькие. Сама процедура прошла практически безболезненно, стоматолог работал очень аккуратно. Моя улыбка сияет. Мне нравится Ю клиник своим профессиональным подходом к делу!",8 февраля 2021,5
404,Марина,"Впервые отбелила зубы и осталась в полном восторге! Врач, Поддубная Ольга Владимировна всю процедуру была очень внимательна. Сначала я хотела оттенок немножко другой, но врач посоветовала более естественно сделать и не прогадала. Улыбка блеск! Эмоций после отбеливания так много! Кстати по ощущению нормальная процедура, ничего неприятного. Спасибо врачу и Ю- клиник, что теперь у меня голливудская улыбка!",8 февраля 2021,5
405,Елена,"Благодарю за безболезненное удаление  зубов мудрости! Была очень сложная ситуация, так как зуб не прорезался, на предварительной консультации врач исследовал снимок, дал рекомендации и назначил прием. Все прошло быстро, без болевых ощущений. Спасибо!",8 февраля 2021,5
406,Вадим,"Лучший стоматологический центр Гомеля!!! Несколько месяцев назад устанавливал импланты, сегодня установил уже коронки.
Улыбка восстановлена, качество превосходное! Выражаю благодарность Ю-КЛИНИК за оказанную помощь!",8 февраля 2021,5
407,Алексей,"Смело рекомендую эту клинику! Решилась на лечение под микроскопом. Осталась довольна! Очень аккуратно и точно проделана работа, не могу не отметить профессионализм врача! Большое спасибо за качественную работу!",8 февраля 2021,5
408,Оксана,"Спасибо Алле Валерьевне Силиной за проделанную работу! Наблюдаемся у нее всей семьей. Лечение безболезненное, качество работы высочайшее! Всем рекомендую",8 февраля 2021,5
409,Ирина Михайловна,"Лечила кариес у Шарая Павла Александровича, всё очень понравилось! Доктор очень внимательный, процедура абсолютно безболезненная и совсем не страшно!",7 февраля 2021,5
410,Светлана,"САМАЯ ЛУЧШАЯ КЛИНИКА!! Проходила имплантацию и лечение каналов под микроскопом, это такие профессионалы!! Берутся казалось бы за то,чего уже не спасти, а что не спасти, то уже имплантация . Процедуры очень боялась, но такая уверенность во враче, что страх прошёл уже после консультации . Всё прижилось и уже поставила коронку, очень довольна!!",7 февраля 2021,5
411,Лариса,"Не раз уже приезжаю с дочкой лечить зубки , очень нравится ей и конечно же мне, что она не боится , это очень важно!! Есть шикарный детский уголок, спасибо за такую любовь к нашим малышам!! И за отличных специалистов))",7 февраля 2021,5
412,Марина,"Оставляю отзыв после лечения под микроскопом. Услуга уникальна, качество лечения на высоте! Я лечила труднопроходимые каналы. Возможно, благодаря микроскопу и удалось сохранить и пролечить зуб. Благодарю Ю-КЛИНИК за такую возможность!",7 февраля 2021,5
413,Виктория,"Только дошли руки написать как я была рада побывать здесь. Мне очень многие советовали ,но как-то повода не было, но на днях очень начал беспокоить зуб мудрости и я решила,что самое время вас навестить. Здесь правда зубы мудрости вырывают только по предварительной консультации, но это только ОГРОМНЫЙ плюс, мне сделали снимок и всё так подробно рассказали и даже показали, что вырывать я уже пришла полностью готовой и спокойной, зная доктора и зная,что всё не так плохо как я представляла. Очень рада, что попала именно к вам и сама теперь конечно рекомендую только вас.",7 февраля 2021,5
414,Евгения,"Замечательная клиника, в которой есть все услуги! Наблюдаемся всей семьей. Отдельно выражаю благодарность терапевту, которая лечила мою дочь. Очень волновалась, так как ребенок был на лечении впервые. Врач уделила максимум внимания, нашла подход к дочери, благодаря чему, лечение состоялось и страха в глазах дочери не было!",6 февраля 2021,5
415,Карина,"Пришла вырывать зуб т.к. в моей поликлинике сказали что его не спасти уже, а по приходу меня успокоили,что ещё не все потеряно и при помощи новейших технологий ( МИКРОСКОПА) и золотых рук доктора мне всё вылечили. Все ещё не верю в это!! готовилась уже к имплантации ,а тут свой зуб и уже здоров! Спасибо!",6 февраля 2021,5
416,Анастасия,"Всю ночь промучалась  с зубной болью ,всё утро искала где бы помогли и тут единственное место где меня спасли, хоть и все доктора заняты, но меня приняли и доктор задержался что бы мне помочь . Очень вам благодарна, лучшие!!",6 февраля 2021,5
417,Артур,"Обращаемся к вам всей семьей, остаются только положительные впечатления. Прекрасные врачи! Профессионально, компетентно, максимально ориентировано на пациентов. Большое спасибо!",6 февраля 2021,5
418,Надежда,"Были на удалении молочных зубиков , доктор Дворонин М.А. Просто лучший доктор, моя малышка не хотела от него уходить, я сама не верила,что такое может быть.ОЧЕНЬ ХОРОШИЙ ДОКТОР, спасибо вам.",6 февраля 2021,5
419,Марина,"До безумия боюсь лечить зубы. Но, как только ты заходишь в стоматологический центр Ю -клиник и садишься в кресло- страх как-то развеивается. Все аккуратно, качественно и безболезненно. На любой вопрос вам дадут доступный для понимания ответ, все покажут и расскажут. Поэтому- рекомендую!!!",6 февраля 2021,5
420,Лариса,"Давно хотела залечить 2 зуба с небольшим кариесом, но всё откладывала. Записалась быстро и на удобное время. Очень обходительные врачи и администраторы клиники. Врач-стоматолог Шарай Павел Александрович был очень внимательный, лечение прошло без неприятных ощущений. Осталась очень довольна и клиникой, и врачом!",6 февраля 2021,5
421,Юлия,"Очень благодарна: Поддубной Ольге Владимировне за лечение и внимания. Для себя поняла, что чистку зубов провожу не совсем верно и не той щёткой. И самое приятное: я больше не боюсь похода к стоматологу - лечение безболезненное, доктор очень внимательная к мелочам. Спасибо огромное! Лечиться согласна, но только у нее!",6 февраля 2021,5
422,Ирина Петровна,"Была на приёме у Дворонина Максима Арсеньевича надо было удалить восьмёрку, очень боялась. Благодаря Максиму Арсеньевичу всё прошло быстро, безболезненно и даже весело.  Огромное вам спасибо, Вы мастер своего дела!",6 февраля 2021,5
423,Валентин,"Спасибо,что вы есть! И от зубной боли спасаете и если нужен срочно рентген, то тоже всегда выручаете. Когда прихожу,то чувствуется будто в гости прихожу, всегда предлагаете согревающие напитки, уютный декор и очень приветливый персонал .",5 февраля 2021,5
424,Татьяна,Спасибо Ю-КЛИНИК за возможность полечить сложнейший зуб под микроскопом. Существенная разница лечения под микроскопом! Я очень довольна! Тысячу благодарностей за спасенный зуб!,5 февраля 2021,5
425,Таисия Егорова,"Врач с золотыми руками, очень рада, что попала именно к ней! Работает действительно на совесть, подробно объясняя и достигая лучшего результата. Отличный специалист.",5 февраля 2021,5
426,Геннадий,"Остался очень доволен! Самая клиентоориентированная клиника. Сервис и качество услуг на высшем уровне. Был первый раз, но остался приятно удивлен и очень доволен! Вернусь к вам снова со всей семьей.",3 февраля 2021,5
427,Дмитрий,"Просто самая классная клиника!!! От внимания к каждому пациенту, до лучших врачей!!! Приезжаю с Минска на лечение ,т.к даже у нас нет профессионалов лучше чем здесь!!",3 февраля 2021,5
428,Юрий,"Спасибо Юрковцу Александру Николаевичу за его труд! Очень внимательный и талантливый специалист. На доступном для меня языке объяснил, что нужно подготовить перед протезированием, что удалить, что полечить. Окончательным этапом была установка коронок. Я доволен! Спасибо Ю-КЛИНИК за такого прекрасного специалиста!",3 февраля 2021,5
429,Алла,"Поставила виниры в Ю-КЛИНИК! Класс! Оправдано соотношение качество-цена.    Сделали и диагностику на месте, так же сразу посетила специалистов,  к которым были вопросы. Благодарю за качественный сервис и мою красивую улыбку!",3 февраля 2021,5
430,Эльвира,Огромное спасибо коллективу Ю-КЛИНИК за проделанную работу! Осталась очень довольна результатом! В этой клинике я проходила лечение каналов и протезирование на имплантатах. Качественно и безболезненно. Всем рекомендую! СПАСИБО,3 февраля 2021,5
431,Елена,"Спасибо Седляровой Елене Николаевне за профессионализм!!! Была в Ю - клиник на профгигиене. Все понравилось, результатом довольна на 150%. Честно даже и не ожидала, зубы после чистки как новые и ощущение абсолютной чистоты.",3 февраля 2021,5
432,Дмитрий,"Проходил имплантацию , все было просто на высшем уровне ,в начале доктор все очень подробно рассказал ,после чего назначали день имплантации.Самой процедуры очень боялся,но даже не заметил как пролетело время в кресле. Остался очень доволен и сервисом и качеством работы ,у докторов золотые руки!",3 февраля 2021,5
433,Инга,"Решилась на операцию по установке имплантатов, по рекомендации знакомой, обратилась в Ю-КЛИНИК. Результатом довольна! Грамотные специалисты и качественные материалы - это про них. Я ставила штрауман. 
Всем советую эту клинику!",3 февраля 2021,5
434,Иван,"Спасибо Елене Николаевне за оказанное лечение! Пролечили все сложные зубы, сделали реставрацию. Я остался доволен. По рекомендации врача буду ходить на осмотр раз в полгода.",3 февраля 2021,5
435,Кристина,"Приходила на профессиональную чистку к доктору Шарай Павлу Александровичу, провела время с удовольствием, очень приятный доктор, хоть и молодой, но большой профессионал своего дела!!!",2 февраля 2021,5
436,Елена,"Порекомендовали детского доктора Силину Аллу Валерьевну , дочка очень боится зубных врачей, даже садиться в кресло не хочет. Но от этой клиники она в восторге,она радостная бежит, когда говорю,что идём лечить зубки. До врача её угощают какао , она играет с кукольным домиком, на самом приеме она смотрит мультики в очках вертуальной реальности и совершенно не хочет уходить.В это время доктор все подробно рассказывает мне по лечению , очень приятная женщина. Теперь сама рекомендую всем знакомым.Спасибо вам за такой сервис и таких хороших специалистов.",2 февраля 2021,5
437,Алеся,"Была сегодня первый раз на приеме. Приятно удивлена сервисом. На время ожидания предложили кофе, рассказали об ассортименте товаров по уходу за полостью рта.
Врач очень понравился, было не больно. Также она объяснила мне причины моих проблем с зубами, определились по дальнейшему лечению. Я осталась очень довольна! Мой врач Поддубная О.В.",2 февраля 2021,5
438,Анастасия,"Остались очень довольны детским приемом. Предварительно посетили консультацию, по рекомендации администратора, расписали все приемы. Спасибо за качественное лечение и индивидуальный подход к ребенку.",2 февраля 2021,5
439,Виктория,"Впервые за долгое время осталось приятное впечатление от похода к стоматологу. Большое спасибо, Юрковец Александр Николаевич! Очень понятно все рассказал, как проходит процедура и дальнейший уход за полостью рта.",2 февраля 2021,5
440,Константин,"Лучшая клиника в которой я только бывал, а бывал я во многих клиниках нашего города! Все на высшем уровне, персонал, оборудование, дисциплина!",1 февраля 2021,5
441,Сергей,"Очень хорошая клиника, лечимся всей семьей. Жене исправляли прикус, теперь устанавливаем виниры. Мне ставили имплантаты и коронки. Результатом довольны!",1 февраля 2021,5
442,Петр Семенович,"Поставил 3 импланта в Ю -клиник, результатом остался доволен, сделали качественно и без форс-мажоров. Отдельное спасибо Дворонину Максиму Арсеньевичу за проделанную работу.",1 февраля 2021,5
443,Наталья,"Аплодисменты хирургу Ю-КЛИНИК Максиму Арсеньевичу! Весело и безболезненно прошла операция по удалению 8ки, операция, которую я оттягивала до последнего момента. Осталось еще 3 восьмерки, но пойду только к нему и уже без страха в глазах! Рекомендую всем!!!",31 января 2021,5
444,Илья,"Не так давно переехал жить в Брянск, но уже привык к одному врачу и поэтому езжу обратно к Силиной Алле Валерьевне, чему никак не нарадуюсь. Очень её рекомендую. Специалист с большой буквы!",30 января 2021,5
445,Екатерина,"Сходила на спа для зубов, чувствую себя очень комфортно, полночью насладилась процессом и безумно довольна результатом. Так же очень порадовал сервис, очень вкусный кофе и внимательный персонал. Спасибо, что вы есть!",29 января 2021,5
446,Анатолий,"Оставляю отзыв после реставрации передних зубов! Я очень доволен! Работа выполнена аккуратно, реставрированные зубы не отличить от остальных! Спасибо за красивую улыбку Седляровой Елене Николаевне",29 января 2021,5
447,Вера,"Который раз уже приходим с семьёй на лечение ,не перестаём удивляться сервису на 5 звёзд и конечно качеству работы супер-докторов. Больше спасибо, детскому доктору - Силиной Алле Валерьевне и нашему с мужем доктору - Карпачеву Вячеславу Владимировичу. Выбираем только вашу клинику!!",28 января 2021,5
448,Наталья Владимиров,"Я была впервые в этой клинике, обращалась туда, чтобы пройти рентген. Персонал там крайне вежливый, меня все устраивало. В помещении все чисто, аккуратно. Впечатление осталось, что это более современное учреждение, если сравнивать с другими клиниками. Результаты рентгена я получила сразу, но должна пройти с ними на консультацию. Уже записалась к доктору на прием в эту же клинику. Также они предоставляют бахилы, кажется, там есть кулер. Зал очень большой и свободный. Приняли меня вовремя. Стоматология - супер. Чуть позже пошли уже лечить дочке молочные зубы. Все прошло легко и весело.",28 января 2021,5
449,Екатерина,"Самые лучшие доктора именно здесь! Уже не первый год с вами и с каждым разом вы только лучше,спасибо вам за современную технологию и безусловный профессионализм.",27 января 2021,5
450,Елена,"Все было просто на 5 звёзд, персонал доброжелателен, объясняют все, провожают в кабинет, врач очень классный ,развеселил, успокоил и даже не заметила как прошло удаление,спасибо вам)))",26 января 2021,5
451,Светлана,"Не понравилось обращение врача, вела себя грубо, высокомерно. Желания еще раз прийти не возникло.",26 января 2021,1
452,Артем,"Обращаюсь в Ю-клиник уже далеко не первый год! Персонал очень приветлив, вежлив и внимателен. Профессионализм специалистов на должном уровне. В особенности хочу отметить Седлярову Елену Николаевну. Просто огромнейшее всем спасибо за мою улыбку!",21 января 2021,5
453,Карина,"Очень понравилось организация работы стоматологического центра Ю - клиник, но главное - специалисты! Особенно хочу выразить благодарность врачу-терапевту Поддубной Ольге Владимировне. Не только профессионал своего дела, но и добрый, и отзывчивый человек. Пришла к ней по рекомендации и теперь рекомендую сама",20 января 2021,5
454,Игорь,"Спасибо Дворонину Максиму Арсеньевичу , за качественную работу. Необходимо было удалить 2 зуба мудрости. Очень переживал, так как удалял зубы впервые, да еще и 8-ки самые проблемные. Максим Арсеньевич успокоил, сказал что все будет быстро и не больно. Так оно и было ! Рекомендую !",18 января 2021,5
455,Нина,"Клиникой остался доволен. Месторасположение удобное, рядом парковка. Врачи качественно выполнили свою работу, много сертификатов подтверждающих профессионализм. Спасибо!",17 января 2021,5
456,Андрей,"Очень доволен,что попал именно сюда. Доктора настоящие профессионалы своего дела , консультировался по имплантации, был и ортопед и хирурга пригласили и снимок сделали, всё просто высший класс. Всё доступно объяснили и рассказали доступно для меня. Спасибо вам, даже как-то проще морально перед операцией.",15 января 2021,5
457,Евгений,"Вырывал зуб мудрости у Дворонина М.А. Остался максимально доволен , сначала переживал т. к. очень тяжёлый зуб , но все прошло очень спокойно и безболезненно . Большое спасибо, только вам доверяю!!!",14 января 2021,5
458,Анна,"СПА УХОД это лучше что придумали. Была на этой процедуре у Силиной Аллы Валерьевны , и знаете что: мало того что эта процедура удаляет налет с зубов, но и снижает чувствительность. Всем РЕКОМЕНДУЮ",13 января 2021,5
459,Ирина,Лечила зубы у Силиной Аллы Валерьевны. Врач внимательный и ответственный. Сделала все аккуратно и хорошо. Получила дальнейшие рекомендации по уходу. Огромное Вам спасибо!,12 января 2021,5
460,Константин,Удалял зубы в Ю клиник. Врач Дворонин Максим Арсеньевич. Классный врач. Хорошо удаляет. Добродушный человек. Мне очень понравилось. Я очень остался доволен.,9 января 2021,5
461,Марина,"Спасибо большое, врачу Карпачеву Вячеславу Владимировичу. Это врач с большой буквы, профессионал своего дела, очень внимательный к своим пациента.Побольше таких врачей, которые работают с душой, ответственно подходят ко всем вопросам.",6 января 2021,5
462,Людмила,"Выражаю огромную благодарность всем сотрудникам стамоталогического центра Ю - клиник за внимательное доброе отношение. Особую благодарность выражаю Силиной Алле Валерьевне  за безболезненное лечение.  К ней мы ходим всей семьей. Алла Валерьевна, самый лучший наш семейный доктор! Буду всем рекомендавать стамоталогический центр Ю-клиник всем знакомым и родственникам.",6 января 2021,5
463,Саша,"Очень долго не решались устанавливать брекеты, но после консультации пришли к выводу, что не все так страшно. Доктор все объяснил в доступной форме и дочь сама согласилась, хотя до разговора уговаривала её уже долгое время.",6 января 2021,5
464,Евгений,"Благодарен данному центру за безболезненную установку имплантов! Не могу сказать, что у меня была стандартная ситуация. Очень волновался, но по итогу зря! Операция прошла отлично, после операции никаких болевых ощущений, выполнял все рекомендации врача. Спасибо вашему центру за прекрасных специалистов!",4 января 2021,5
465,Светлана,"Всегда когда прихожу в зубную испытываю большой страх, но когда зашла в Ю-клиник, я  почувствовала комфорт, и очень важным гостем себя. Сервиз отличный: предлагают чай и кофе после холодной улицы, уточняют все вопросы ( когда мне будет удобнее прийти и в какое время). В кабинет проводила медсестра и с улыбкой встретил доктор, расписал подробно и понятно план лечения. Большое вам спасибо за такое шикарное отношение к посетителям. Сервис 10.",31 декабря 2020,5
466,Катя,"Всегда боялась врачей - хирургов, но побыла на удалении зуба в Ю - КЛИНИК у доктора Дворонина  М.А и осталось очень приятное впечатление. Спасибо, что он разрушил мои стеореотипы о зубных врачах. Все прошло безболезненно. В дальнейшем буду обращаться только к нему.",30 декабря 2020,5
467,Василий,"Очень много слышал отзывов о этой клинике, перед тем как записался на консультацию. Все знакомый советовали Юрковца А. Н. и не зря ! 
Получив всю информацию на консультации, мы начали работу. И вот, спустя почти 2 месяца, я обладатель самой красивой улыбки! 

Спасибо ВАМ большое за вашу работу! Все сделано быстро, качественно а самое главное что в приделах моего бюджета.   

ВЫ МАСТЕРА СВОЕГО ДЕЛА! 
Однозначно всем буду вас советовать. Теперь вы наша семейная стоматология.",30 декабря 2020,5
468,Мария,"Давно мечтала о винирах. Записывалась на консультации в несколько клиник и все было не то, мне не нравились врачи, не нравилось то, что они обещали. Только Ю-КЛИНИК вызвала доверие и я решилась. Там оказался замечательный профессиональный коллектив, уютно, приятная атмосфера. Спасибо вам большое за мою красивую улыбку . Все было сделано на высшем уровне! Буду всем рекомендовать этот центр.",30 декабря 2020,5
469,Виктория,"Доктор Дворонин М.А. большой специалист своего дела, очень боялась вырывать зуб мудрости, но он и поддержал и развеселил, что страх ушёл сам собой. При этом все было так профессионально , ничего даже не беспокоило после приема. Спасибо большое, выбираю только вас.",29 декабря 2020,5
470,Елена,"Большой спасибо за лечение Поддубной Ольге Владимировне! Лучший врач нашего города. Ольга Владимировна подробно и доступно рассказывает о плане лечения, что очень важно! Визиты проходят легко, и самое главное-безболезненно. Спасибо Ю-клиник за такого внимательного профессионала!",25 декабря 2020,5
471,Галина,"Огромная благодарность специалистам Ю-КЛИНИК!
Искала клинику, в которой можно сделать виниры в Гомеле. По отзывам и рекомендациям выбрала Ю-КЛИНИК. Осталась очень довольна! Я в восторге! Не могу не отметить качество и сроки работы! Спасибо Вам огромное, за осуществление моей давней мечты! 
Всем рекомендую данный центр!",25 декабря 2020,5
472,Евгений,Выражаю благодарность Александру Николаевичу за мой восстановленный зуб! Работа выполнена с ювелирной точностью. Доволен качеством! Лучший ортопед Юрковец Александр Николаевич! Рекомендую обращаться к нему и только к нему!,23 декабря 2020,5
473,Ульяна,"Здесь работает терапевт, у которого я наблюдаюсь уже более 10 лет! Наш семейный врач - Силина Алла Валерьевна! Потрясающий врач с золотыми руками. Спасибо за Вашу работу!",17 декабря 2020,5
474,Антонина,"Хочу выразит огромную благодарность всем, кто работает над Ю-КЛИННИК. Прекрасное место, где работает отзывчивый персонал и действительно квалифицированные врачи. Уже трижды была сама на лечении и сегодня наконец-то привела ребенка. Осталась довольна. Малыш не плакал и сам спросил, когда мы придем в следующий раз.",16 декабря 2020,5
475,Екатерина,"Отличный врач Карпачев Вячеслав Владимирович. Наблюдаюсь у него не первый год, очень внимательный и доброжелательный. Лечить зубы у него не страшно!! Всем его рекомендую!!!",10 декабря 2020,5
476,Анжела,"Лучшие специалисты работают в этом центре! Мне предстояло восстановление зубов при помощи установки имплантов и моста на них. Благодаря профессионализму врачей, хирургический этап прошел отлично, не было больно совсем!!! На время приживления имплантов я выбрала съемное протезирование, благодаря чему, незаметно прошли месяцы до установки моста. Мост в шесть единиц установили спустя три месяца после имплантации. Работа выполнена превосходно! Спасибо за оказанную помощь!",10 декабря 2020,5
477,Наталья,"Любить свою работу - это наверное самый гавный пункт при принятии на работу в эту клинику!
Силина Алла Валерьевна самый лучший доктор у которого мы были. Нам 7 лет,  но очень дольшие проблемы с зубами. Все советовали именно этого доктора. И после первого визита мы поняли почему. Она переживает за деток больше, чем они сами. В ее глазах читается забота о каждом. 
Решили лечиться сдесь. Сынуля в восторге",6 декабря 2020,5
478,Константин,"Дворонин Максим Арсеньевич-самый крутой хирург! Быстро и без боли было выполнено сложнейшее удаление зубов мудрости, которые даже не прорезались!!!! Колоссальная работа! СПАСИБО!",5 декабря 2020,5
479,Любовь,"Была в вашей клинике уже не один раз, привожу сюда и мужа, и детей, и родителей! И друзьям советую, врач Карпачев Вячеслав Владимирович - профессионал своего дела, спасибо Вам! Ваши неизменные клиенты.:)",27 ноября 2020,5
480,Валя,"Очень мне все понравилось! Чисто, уютно, дружелюбно!Спасибо за такой уровень!",27 ноября 2020,5
481,Татьяна,"Хочу выразить огромную благодарность ООО ""Ю-КЛИНИК"" за высокий сервис, внимательный персонал и врачей-профессионалов! Очень приятная атмосфера. Огромное спасибо врачу-хирургу Дворонину Максиму Арсеньевичу, быстро и безболезненно удалил зуб. Спасибо!",27 ноября 2020,5
482,Антон,"Отличная клиника с современным оборудованием и качественными материалами! Благодарю Седлярову Е. Н. за составленный план лечения, безболезненную терапию и огромную проделанную работу! Лучший специалист в области лечения!",27 ноября 2020,5
483,юра,Карпачев супер врач,13 ноября 2020,5
484,Дина,"Мою благодарность Медведеву Николаю Леонидовичу не выразить просто словами, о Вас нужно слагать оды! 
Я до сих пор нахожусь в чистом и искреннем восхищении от Вашей работы, внимательного и чуткого отношения, Вашего высокого профессионализма, и по-настоящему рада, что поставила свой первый имплант на единицу именно у Вас! Хотя до этого даже не представляла что так легко перенесу процедуру имплантации.
Без колебаний обратилась второй раз за удалением нижних зубов и постановкой имплантов на место семерки и шестерки именно к Николаю Леонидовичу, так как знала что буду в надежных руках.
Удаление сложной ретинированной восьмерки сразу после семерки и шестерки было задачей не из легких в условиях весьма ограниченного доступа, но Вы справились на отлично! Я практически не волновалась потому что полностью доверяла Вам как специалисту и мастеру своего дела. Процедура имплантации прошла замечательно и была совершенно безболезненной. Николай Леонидович, спасибо Вам огромное!",12 ноября 2020,5
485,Алина,"Самая современная клиника!Все оборудование новое, совй ренген, выдают щетки перед посищениями, наливают чай и кофе, если вы пришли зарание. Всегда приятная музыка и чистота.
А какие у них доктора ! Капрачев В.В.- докозательство того, что в эту клинику попадают только такие же талантливые люди, как и их руководители .",12 ноября 2020,5
486,Евгений,"Огромная благодарность Елене Николаевне за профессиональный подход в работе и ту энергию, которая успокоит любого труса=)",5 ноября 2020,5
487,Екатерина,"Хочу выразить слова признательности стоматологическому центру Ю-клиник! Все специалисты и сервис на высшем уровне, ни один пациент не останется без внимания, окажут весь спектр услуг и предложат вкусный чай и кофе, в центре даже есть детский уголок, остались очень довольны , приходить будем теперь только к ВАМ!!!!",16 октября 2020,5
488,Мария,"Хотелось бы оставить неприятный отзыв несмотря на хорошее отношение к данной клинике. Была записана к ортодонту, ждала 2 недели. Перед днём приёма выяснилось, что меня записали не к ортодонту, а к ортопеду. Расстроена, ведь запись к ортодонту очень плотная. Придётся ждать ещё 2 недели.",14 октября 2020,4
